"","Subj","Dose","TB","Transitions","Dur","RA","ES","Thigmotaxis","Freezing"
"80","E5","10",110.868,23,4.8203478261,27,49,110.868,39.3397027812226
"81","E6","10",73.374,15,4.8916,37,8,13.94106,10.20001895216
"82","E7","10",34.9,14,2.4928571429,30,24,34.9,32.3328711182257
"83","E8","10",49.581,17,2.9165294118,7,10,44.12709,35.7639683340223
"84","E9","10",47.719,28,1.70425,0,9,47.719,18.0150330676675
"85","E10","10",147.004,39,3.7693333333,3,0,147.004,99.5732411439657
"86","E11","10",167.935,38,4.4193421053,9,0,40.3044,34.7979264560197
"87","E12","10",87.469,21,4.1651904762,2,37,35.86229,5.37978933468848
"88","E13","10",49.962,12,4.1635,12,0,49.962,22.9781890969195
"89","E14","10",79.635,23,3.4623913043,0,10,79.635,46.0776575375182
"90","E15","10",30.764,9,3.4182222222,32,2,19.68896,50.29135630322
